City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Lahaina,US,20.88,-156.68,89.6,48,20,17.22,few clouds
292,Cap-Chat,CA,49.1,-66.68,62.73,60,0,8.19,clear sky
293,Alofi,NU,-19.06,-169.92,77.0,88,75,6.93,broken clouds
294,Leningradskiy,RU,69.38,178.42,42.48,82,100,3.13,overcast clouds
295,San Jose De Guanipa,VE,8.89,-64.17,79.57,79,100,6.53,moderate rain
296,Tiksi,RU,71.69,128.87,38.61,82,99,11.05,overcast clouds
297,Benicarlo,ES,40.42,0.43,75.99,75,0,6.02,clear sky
298,Clyde River,CA,70.47,-68.59,44.42,81,100,1.7,overcast clouds
299,Chapais,CA,49.78,-74.85,64.4,42,1,10.29,clear sky
300,San Rafael Del Sur,NI,11.85,-86.44,77.0,94,75,12.46,moderate rain
301,Planaltina,BR,-15.45,-47.61,84.2,37,20,1.12,few clouds
302,Vyartsilya,RU,62.18,30.69,56.1,83,0,4.41,clear sky
303,Kosonsoy,UZ,41.26,71.55,73.4,46,0,6.93,clear sky
304,Nyazepetrovsk,RU,56.05,59.6,51.19,97,69,5.37,broken clouds
305,Jumla,NP,29.27,82.18,60.6,70,83,0.85,broken clouds
306,Shizunai,JP,42.33,142.37,61.5,79,100,3.51,overcast clouds
307,Mount Gambier,AU,-37.83,140.77,44.6,87,75,14.99,broken clouds
308,Chara,RU,56.91,118.26,50.34,71,12,2.73,few clouds
309,Kampot,KH,10.62,104.18,82.4,78,20,6.93,few clouds
310,Oparino,RU,59.85,48.28,50.41,93,75,4.81,broken clouds
311,Poum,NC,-20.23,164.02,70.81,76,0,6.29,clear sky
312,Manggar,ID,-2.88,108.27,81.03,84,100,12.12,moderate rain
313,Kirakira,SB,-10.45,161.92,81.16,80,77,6.73,broken clouds
314,Avera,US,33.19,-82.53,80.6,78,40,6.93,scattered clouds
315,Airai,TL,-8.93,125.41,57.72,51,0,3.27,clear sky
316,Namibe,AO,-15.2,12.15,65.17,67,94,6.93,overcast clouds
317,General Roca,AR,-39.03,-67.58,69.8,30,0,2.24,clear sky
318,Valle De Santiago,MX,20.38,-101.2,78.8,47,40,4.65,scattered clouds
319,Paamiut,GL,61.99,-49.67,46.0,80,0,3.29,clear sky
320,Lahad Datu,MY,5.03,118.33,78.03,86,1,3.76,clear sky
321,Great Yarmouth,GB,52.61,1.73,69.01,71,0,8.99,clear sky
322,Shenzhen,CN,22.55,114.07,82.0,88,86,1.01,overcast clouds
323,Krasnoshchekovo,RU,51.67,82.73,57.51,69,100,10.98,light rain
324,Baghdad,IQ,33.34,44.4,84.2,26,0,2.24,clear sky
325,Porto Santo,PT,33.07,-16.34,73.4,78,20,12.75,few clouds
326,Victoria,HK,22.29,114.16,82.0,78,74,1.45,broken clouds
327,Quatre Cocos,MU,-20.21,57.76,70.0,73,40,6.93,scattered clouds
328,Antofagasta,CL,-23.65,-70.4,57.2,76,20,12.75,few clouds
329,San Patricio,MX,19.22,-104.7,87.8,74,75,5.82,broken clouds
330,Pedernales,DO,18.04,-71.74,93.2,63,40,18.34,scattered clouds
331,Aklavik,CA,68.22,-135.01,57.2,76,75,5.82,broken clouds
332,Yar-Sale,RU,66.83,70.83,54.48,88,89,9.62,overcast clouds
333,Stromness,GB,58.97,-3.3,59.0,87,16,10.29,few clouds
